"CIVIC";0;0;2;0;1;0;1;0;0;0;0;0;1;3;0;0;0;0;2;2;1;3;2;3;0;1;2;4;2;3;3;4;2;6;4;7;4;5;4;5;2;5;5;5;3;4;4;4;3;4;3;5;4;6;5;4;2;4;4;8;5;6;6;3;3;4;4;4;3;4;3;4;2.0;2.0;2.0;1.0;1.0;2.0;2.0;3.0;2.0;3.0;2.0;4.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;3.0;0.0;2.0;2.0;2.0
"EATING_DRINKING";2;3;2;5;4;2;3;2;2;2;4;8;5;10;8;7;1;13;25;21;26;17;25;19;30;25;28;22;32;19;26;14;28;16;22;12;19;13;16;10;19;9;11;11;20;13;23;18;39;18;22;13;21;10;13;9;17;8;10;9;15;9;14;13;21;18;23;23;38;27;34;22;40.0;23.0;29.0;18.0;24.0;14.0;15.0;14.0;14.0;8.0;11.0;10.0;6.0;7.0;5.0;5.0;3.0;5.0;3.0;3.0;1.0;2.0;1.0;1.0
"EDUCATION";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
"HOME JOB ACTIVITY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME LEISURE";16;33;20;16;18;22;20;18;19;16;19;8;17;19;19;24;6;45;31;44;37;41;30;41;34;41;34;47;33;46;39;45;38;48;42;45;41;45;43;42;44;46;46;43;38;42;36;37;32;44;44;48;43;50;44;47;46;52;48;49;45;47;46;44;42;44;40;41;32;39;39;50;35.0;51.0;46.0;55.0;51.0;59.0;59.0;56.0;46.0;58.0;48.0;49.0;36.0;47.0;36.0;51.0;24.0;37.0;22.0;28.0;16.0;27.0;18.0;22.0
"HOUSE ACTIVITY";9;7;9;12;10;10;16;8;8;14;15;8;18;11;20;17;1;13;16;12;14;18;24;12;18;13;18;9;18;10;16;12;15;9;13;9;14;7;10;8;10;8;9;7;10;7;9;5;5;5;6;5;5;6;6;5;7;5;7;7;8;6;6;7;9;6;7;7;6;3;5;2;5.0;4.0;5.0;6.0;6.0;7.0;5.0;6.0;10.0;7.0;9.0;10.0;10.0;11.0;14.0;10.0;11.0;11.0;12.0;12.0;9.0;11.0;10.0;14.0
"HOUSEHOLD MEMBER CARING";1;2;3;2;0;5;1;2;1;2;3;0;4;1;3;4;0;3;4;0;4;4;5;6;5;4;5;4;4;5;4;3;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;1;1;0;1;2;1;2;2;2;2;2;2;2;1;3;2;2;2;1;2;2;2;2;1.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;4.0;5.0;3.0;2.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0
"RELIGION";0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;2;0;2;4;2;0;1;1;1;2;1;3;2;3;1;3;3;3;2;2;3;5;3;3;2;3;2;2;1;2;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
"SHOPPING";1;5;0;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;1;2;3;3;2;5;4;7;4;7;6;9;7;13;10;15;9;14;13;16;11;17;13;17;8;14;10;14;10;15;12;17;11;14;13;12;9;15;9;15;9;13;10;12;6;10;5;8;5.0;8.0;4.0;5.0;3.0;5.0;4.0;4.0;4.0;6.0;3.0;5.0;2.0;4.0;1.0;2.0;1.0;1.0;1.0;4.0;1.0;0.0;0.0;1.0
"SLEEP";67;47;61;57;64;56;54;62;67;60;58;58;51;51;44;43;91;22;10;6;12;6;6;5;5;3;1;1;2;1;1;2;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1;2;2;1;3;3;3;2;4;3;4;3;3;2;4;2;3;2;1;1;1;1;1;1;1;1;1.0;1.0;0.0;1.0;3.0;1.0;3.0;2.0;11.0;6.0;14.0;8.0;34.0;15.0;35.0;22.0;54.0;36.0;56.0;43.0;69.0;52.0;64.0;50.0
"SOCIALIZING";2;2;2;0;0;2;2;5;0;2;1;4;0;1;0;0;0;2;3;8;1;0;2;4;1;3;3;2;1;4;2;5;2;4;3;5;4;5;5;5;5;5;5;6;5;6;6;5;4;6;6;5;6;5;5;6;5;6;6;6;7;6;8;5;7;6;7;6;7;8;6;6;6.0;5.0;6.0;6.0;6.0;7.0;5.0;8.0;5.0;5.0;5.0;6.0;4.0;6.0;3.0;3.0;3.0;4.0;1.0;3.0;1.0;2.0;2.0;2.0
"SPORTS";1;2;1;0;1;2;2;0;1;0;0;8;2;1;6;2;0;2;5;6;1;5;3;6;4;5;2;5;3;4;4;5;3;3;4;6;5;5;6;7;6;6;4;6;7;6;5;6;3;5;5;4;4;4;6;6;4;5;6;4;5;5;6;6;5;4;6;4;4;4;3;3;3.0;4.0;3.0;4.0;3.0;2.0;2.0;4.0;2.0;4.0;3.0;2.0;3.0;5.0;1.0;3.0;1.0;2.0;1.0;2.0;0.0;2.0;1.0;2.0
"WORK";0;0;0;4;1;0;1;0;1;2;0;4;1;1;1;2;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"CIVIC";32;38;10;4;6;1;3;1;2;1;1;0;1;0;0;0;0;0;"0";"0";0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"EATING_DRINKING";8;39;32;7;11;1;2;0;1;0;0;0;0;0;0;0;0;"0";0;0;"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"EDUCATION";2;5;8;8;17;9;14;"0";21;2;3;2;"0";2;2;2;3;"0";"0";"0";"0";2;"0";2;"0";"0";"0";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME JOB ACTIVITY";7;16;18;10;23;4;4;"0";7;1;1;1;4;"0";"0";"0";3;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME LEISURE";1;5;8;4;14;3;6;3;13;2;4;2;6;2;3;2;4;1;2;1;2;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOUSE ACTIVITY";24;34;23;6;9;1;2;0;1;0;0;0;0;0;0;"0";0;0;"0";0;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOUSEHOLD MEMBER CARING";21;40;19;6;9;0;2;0;1;0;0;0;1;"0";0;0;0;"0";"0";"0";"0";0;"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"RELIGION";17;36;9;4;12;4;4;2;3;1;2;1;1;1;1;0;1;0;"0";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"SHOPPING";32;46;11;4;4;0;1;0;1;0;0;"0";0;0;"0";0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"SLEEP";0;1;2;1;5;1;4;1;9;1;4;1;10;1;4;1;11;1;6;1;11;1;5;1;9;0;2;0;4;0;1;0;1;0;0;0;0;0;0;0;0;"0";0;"0";0;0;"0";"0";0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"SOCIALIZING";17;36;16;5;11;1;3;1;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"SPORTS";9;30;20;8;15;2;5;0;6;0;1;0;2;0;"0";1;1;"0";0;0;0;"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"WORK";8;17;14;3;14;3;6;2;11;2;2;2;4;1;2;1;3;"0";1;"0";1;0;"0";1;1;"0";0;0;1;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
